state,response,education,employmentstatus,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,F,M,coverage_endoced,location_code_endoced
Washington,No,Bachelor,Employed,Married,Corporate ,Offer1,Agent,Two-Door Car,Medsize,1.0,0.0,0.0,1.0
Arizona,No,Bachelor,Unemployed,Single,Personal ,Offer3,Agent,Four-Door Car,Medsize,1.0,0.0,1.0,1.0
Nevada,No,Bachelor,Employed,Married,Personal ,Offer1,Agent,Two-Door Car,Medsize,1.0,0.0,2.0,1.0
California,No,Bachelor,Unemployed,Married,Corporate ,Offer1,Call Center,SUV,Medsize,0.0,1.0,0.0,1.0
Washington,No,Bachelor,Employed,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize,0.0,1.0,0.0,0.0
Oregon,Yes,Bachelor,Employed,Married,Personal ,Offer2,Web,Two-Door Car,Medsize,1.0,0.0,0.0,0.0
Oregon,Yes,College,Employed,Married,Corporate ,Offer1,Agent,Four-Door Car,Medsize,1.0,0.0,0.0,1.0
Arizona,No,master_&_dr,Unemployed,Single,Corporate ,Offer1,Agent,Four-Door Car,Medsize,0.0,1.0,2.0,2.0
Oregon,Yes,Bachelor,Unemployed,Divorced,Corporate ,Offer1,Agent,Four-Door Car,Medsize,0.0,1.0,0.0,1.0
Oregon,No,College,Employed,Married,Special ,Offer2,Branch,Four-Door Car,Medsize,1.0,0.0,1.0,2.0
California,No,College,Unemployed,Single,Personal ,Offer1,Agent,Four-Door Car,Small,0.0,1.0,0.0,1.0
California,No,College,Unemployed,Married,Personal ,Offer2,Agent,SUV,Medsize,1.0,0.0,0.0,1.0
California,No,master_&_dr,Employed,Married,Corporate ,Offer2,Agent,Four-Door Car,Medsize,0.0,1.0,2.0,2.0
Arizona,Yes,High School or Below,Employed,Married,Corporate ,Offer2,Branch,SUV,Medsize,0.0,1.0,0.0,1.0
California,No,College,Employed,Single,Corporate ,Offer4,Call Center,Four-Door Car,Medsize,0.0,1.0,0.0,2.0
Oregon,No,Bachelor,Employed,Married,Corporate ,Offer2,Branch,Four-Door Car,Medsize,1.0,0.0,0.0,0.0
Nevada,No,High School or Below,Unemployed,Married,Personal ,Offer2,Call Center,Two-Door Car,Medsize,0.0,1.0,0.0,1.0
California,No,College,Unemployed,Married,Personal ,Offer3,Call Center,SUV,Medsize,0.0,1.0,0.0,1.0
Oregon,No,College,Employed,Married,Personal ,Offer2,Branch,Four-Door Car,Medsize,0.0,1.0,0.0,2.0
California,No,High School or Below,Employed,Married,Corporate ,Offer1,Call Center,Four-Door Car,Small,1.0,0.0,2.0,1.0
Oregon,No,High School or Below,Employed,Single,Personal ,Offer1,Branch,Two-Door Car,Medsize,0.0,1.0,0.0,1.0
Washington,No,Bachelor,Unemployed,Divorced,Personal ,Offer4,Call Center,Four-Door Car,Medsize,1.0,0.0,1.0,1.0
Arizona,Yes,Bachelor,Unemployed,Divorced,Personal ,Offer1,Agent,Four-Door Car,Medsize,0.0,1.0,0.0,1.0
Nevada,No,Bachelor,Unemployed,Single,Corporate ,Offer1,Branch,Four-Door Car,Medsize,1.0,0.0,0.0,1.0
California,No,Bachelor,Unemployed,Married,Corporate ,Offer2,Branch,Four-Door Car,Medsize,1.0,0.0,0.0,1.0
Oregon,No,College,Employed,Married,Personal ,Offer2,Call Center,Four-Door Car,Large,0.0,1.0,0.0,1.0
California,No,Bachelor,Unemployed,Single,Personal ,Offer1,Agent,Four-Door Car,Small,1.0,0.0,2.0,1.0
Washington,No,master_&_dr,Unemployed,Married,Corporate ,Offer1,Branch,SUV,Medsize,1.0,0.0,1.0,2.0
Arizona,No,College,Employed,Single,Personal ,Offer1,Call Center,Four-Door Car,Large,1.0,0.0,2.0,1.0
Oregon,No,master_&_dr,Employed,Married,Personal ,Offer2,Branch,Four-Door Car,Small,1.0,0.0,1.0,1.0
Arizona,No,College,Employed,Married,Personal ,Offer4,Call Center,Four-Door Car,Small,0.0,1.0,0.0,1.0
Nevada,No,High School or Below,Employed,Married,Corporate ,Offer2,Agent,Luxury SUV,Medsize,0.0,1.0,1.0,2.0
California,No,Bachelor,Unemployed,Married,Personal ,Offer1,Call Center,Four-Door Car,Medsize,0.0,1.0,0.0,2.0
Washington,No,Bachelor,Employed,Married,Corporate ,Offer1,Agent,Two-Door Car,Small,0.0,1.0,0.0,1.0
Oregon,No,Bachelor,Employed,Married,Corporate ,Offer3,Web,Four-Door Car,Medsize,1.0,0.0,0.0,0.0
Arizona,No,High School or Below,Employed,Married,Personal ,Offer1,Branch,Four-Door Car,Medsize,1.0,0.0,0.0,2.0
California,No,Bachelor,Employed,Married,Personal ,Offer1,Agent,Four-Door Car,Small,0.0,1.0,2.0,1.0
Oregon,No,master_&_dr,Employed,Married,Personal ,Offer2,Web,Four-Door Car,Small,1.0,0.0,1.0,1.0
Oregon,No,Bachelor,Unemployed,Single,Personal ,Offer3,Agent,Two-Door Car,Small,0.0,1.0,1.0,1.0
Arizona,No,High School or Below,Employed,Divorced,Personal ,Offer1,Call Center,Four-Door Car,Medsize,0.0,1.0,0.0,0.0
Nevada,No,High School or Below,Unemployed,Married,Corporate ,Offer3,Call Center,Two-Door Car,Medsize,1.0,0.0,0.0,1.0
Oregon,Yes,College,Employed,Single,Corporate ,Offer2,Agent,Two-Door Car,Medsize,1.0,0.0,0.0,0.0
California,Yes,Bachelor,Employed,Married,Personal ,Offer2,Agent,Four-Door Car,Small,1.0,0.0,1.0,1.0
Arizona,No,High School or Below,Employed,Married,Personal ,Offer4,Agent,Sports Car,Medsize,0.0,1.0,0.0,1.0
Washington,No,College,Employed,Married,Special ,Offer2,Call Center,Four-Door Car,Large,0.0,1.0,0.0,1.0
Oregon,No,master_&_dr,Unemployed,Married,Personal ,Offer1,Branch,SUV,Medsize,1.0,0.0,2.0,0.0
Arizona,No,Bachelor,Unemployed,Single,Personal ,Offer3,Call Center,Four-Door Car,Medsize,0.0,1.0,0.0,1.0
Oregon,No,High School or Below,Employed,Single,Personal ,Offer4,Agent,Two-Door Car,Medsize,1.0,0.0,0.0,1.0
California,No,Bachelor,Unemployed,Married,Corporate ,Offer2,Call Center,Four-Door Car,Medsize,1.0,0.0,1.0,1.0
Arizona,No,High School or Below,Unemployed,Married,Personal ,Offer4,Branch,Four-Door Car,Medsize,1.0,0.0,0.0,1.0
Oregon,No,College,Employed,Married,Personal ,Offer1,Agent,SUV,Small,0.0,1.0,0.0,1.0
California,Yes,Bachelor,Employed,Divorced,Corporate ,Offer1,Web,SUV,Medsize,1.0,0.0,0.0,1.0
Nevada,No,High School or Below,Employed,Married,Special ,Offer4,Branch,Four-Door Car,Medsize,1.0,0.0,0.0,0.0
Washington,No,Bachelor,Employed,Single,Personal ,Offer4,Agent,Four-Door Car,Medsize,0.0,1.0,0.0,1.0
California,No,Bachelor,Unemployed,Married,Personal ,Offer1,Branch,Four-Door Car,Small,0.0,1.0,2.0,1.0
Arizona,No,College,Employed,Divorced,Corporate ,Offer3,Call Center,Four-Door Car,Small,1.0,0.0,1.0,1.0
California,No,College,Employed,Married,Special ,Offer2,Branch,Four-Door Car,Medsize,0.0,1.0,0.0,2.0
Arizona,No,High School or Below,Unemployed,Married,Personal ,Offer1,Call Center,SUV,Small,1.0,0.0,0.0,1.0
Oregon,No,High School or Below,Unemployed,Divorced,Personal ,Offer1,Call Center,SUV,Medsize,1.0,0.0,1.0,1.0
Oregon,No,master_&_dr,Unemployed,Divorced,Personal ,Offer1,Agent,Four-Door Car,Medsize,1.0,0.0,2.0,1.0
Arizona,Yes,Bachelor,Unemployed,Divorced,Personal ,Offer1,Agent,Four-Door Car,Medsize,0.0,1.0,0.0,1.0
California,No,Bachelor,Unemployed,Married,Personal ,Offer1,Call Center,Two-Door Car,Small,1.0,0.0,2.0,1.0
Oregon,No,Bachelor,Unemployed,Single,Personal ,Offer1,Agent,Two-Door Car,Small,0.0,1.0,1.0,1.0
California,No,High School or Below,Employed,Married,Personal ,Offer1,Agent,SUV,Medsize,1.0,0.0,0.0,0.0
Arizona,No,Bachelor,Unemployed,Single,Personal ,Offer3,Branch,Four-Door Car,Large,1.0,0.0,0.0,1.0
Washington,No,College,Employed,Married,Personal ,Offer3,Web,Four-Door Car,Medsize,0.0,1.0,0.0,1.0
